30015494	2714163118	Tacoma, WA
67633463	5159205580	Renton, WA
66847266	5493803231	Seattle, WA
17345327	2893432115	Issaquah, WA
43057290	5923788655	Seattle, WA
71435084	5684137485	Battle Ground, WA
15729610	4995762826	Seattle, WA
72350687	4999908263	Seattle, WA
16516177	4893989201	Spokane, WA
78120438	6237813476	Bellingham, WA
42745845	5906112600	Seattle, WA
88082120	5843365562	Spokane, WA
18546991	2265518643	Seattle, WA
30017318	4714139411	Seattle, WA
12453752	5455710352	Bellingham, WA
16386378	4979590069	Sunnyside, WA
16910678	4147720414	Bellevue, WA
41528403	2767306233	Seattle, WA
15600165	5671738970	Olympia, WA
5638862		4097489869	Seattle, WA
18353013	5904416287	Federal Way, WA
3935601		5412156301	Tacoma, WA
87035294	5821675643	Seattle, WA
21106227	5830918745	Seattle, WA
43126877	2202834490	Poulsbo, WA
48238752	4973201820	Seattle, WA
15380717	5671876763	Seattle, WA
2029651		4508445138	Seattle, WA
39195019	5670871953	Mercer Island, WA
16078975	5965068966	Spokane, WA
34385365	5402544551	Seattle, WA
36180812	5588944996	Seattle, WA
17306730	5864328522	Bellingham, WA
29351243	5607949516	Seattle, WA
15603079	5375297372	Bellevue, WA
83367384	5321657378	Seattle, WA
36312540	1717940516	Seattle, WA
1447491		3636214211	Seattle, WA
13375242	6323121253	Seattle, WA
85627720	5982774085	Seattle, WA
15079315	6211698445	Seattle, WA
14817235	5297619971	Seattle, WA
53745815	5993648637	Mercer Island, WA
34363775	6313967744	Vancouver, WA
49814000	3713205967	Bellevue, WA
31070876	6011720114	Seattle, WA
38508404	5194558418	Seattle, WA
81272035	6126808984	Tacoma, WA
15711307	4072107544	Seattle, WA
38018454	5716634213	Kirkland, WA
47717824	5983742981	Seattle, WA
9576462		5920605826	Redmond, WA
11805432	5232812088	Seattle, WA
27403237	4920308671	Seattle, WA
76154375	4879433122	Seattle, WA
20951221	2608451700	Sammamish, WA
14952023	1517953173	Redmond, WA
43263615	5437470075	Redmond, WA
16654030	4846546629	Seattle, WA
19924665	5716170959	Seattle, WA
1583331		6322873487	Seattle, WA
797018		5905492778	Bellingham, WA
19094626	1427930437	Seattle, WA
34482788	3628609918	Yakima, WA
15612251	4738928064	Sammamish, WA
62139220	5777739727	Seattle, WA
11162		5662504643	Seattle, WA
14822470	5039122954	Kirkland, WA
76819589	5614072621	Seattle, WA
56503513	4721766867	Seattle, WA
19279066	6206529612	Seattle, WA
89871075	5828626684	Puyallup, WA
1247101		5656477948	Seattle, WA
18886073	5692395922	Seattle, WA
29372025	5405699534	Newcastle, WA
1322691		5394832402	Seattle, WA
21507989	5460719524	Seattle, WA
66390043	4034039316	Pasco, WA
69480655	4737052074	Seattle, WA
52441344	5262695945	Bellevue, WA
34080819	5073187498	Bellingham, WA
30973		5434488806	Seattle, WA
14481900	4380501064	Bellevue, WA
11547052	932572764	Redmond, WA
6304252		3758893886	Bothell, WA
49820162	5573276964	Seattle, WA
11450112	6243446712	Seattle, WA
17576806	5896875914	Bellevue, WA
94221706	6414374198	Seattle, WA
13413		5661682213	Kirkland, WA
6173842		5451268202	Seattle, WA
15742205	5807408906	Yakima, WA
85472534	5669397339	Seattle, WA
10892692	5774913567	Seattle, WA
17377853	5781546189	Vancouver, WA
20461745	1334499511	Bellingham, WA
15743301	5468996082	Bellevue, WA
18889342	5751167960	Seattle, WA
38156949	5742428293	Seattle, WA
6446902		5195825435	Seattle, WA
14232711	5399021601	Seattle, WA
15088772	5052831865	Seattle, WA
14826700	5583157946	Seattle, WA
3554911		6240317330	Seattle, WA
671543		5453636188	Tacoma, WA
14172201	5575745473	Seattle, WA
38814010	3905030778	Vancouver, WA
19808652	3670415207	Seattle, WA
17842612	4686687133	Seattle, WA
21914820	5272173358	Seattle, WA
21250615	5665652070	Kirkland, WA
15876737	5451779899	Seattle, WA
16270082	5786433883	Marysville, WA
16008072	5989335132	Seattle, WA
24081368	5898810911	Newcastle, WA
14435460	5835803407	Spokane, WA
14173332	5295915958	Seattle, WA
19741316	5920968124	Vancouver, WA
16146693	5247683787	Seattle, WA
27134912	1615464979	Seattle, WA
20334316	5538954325	Tacoma, WA
52184897	5074838634	Seattle, WA
804808		4768342022	Seattle, WA
21776332	1819901085	Renton, WA
15485063	5935289203	Spokane, WA
27805885	4486266070	Tacoma, WA
19679499	5367953822	Seattle, WA
14174562	4683721284	Kirkland, WA
48152692	3171292848	Seattle, WA
18369254	5673374408	Seattle, WA
16141099	4374416207	Seattle, WA
59263886	3746774239	Seattle, WA
23350185	4843767065	Port Orchard, WA
15447886	5494171944	Seattle, WA
72770096	5748584934	Seattle, WA
82666039	5053737897	Bellingham, WA
7359842		6388886393	Tacoma, WA
16141976	5486188810	Bellingham, WA
22171390	5528600955	Bellevue, WA
16797500	5565390352	Seattle, WA
16797684	4997717839	Redmond, WA
28725452	1654790524	Tacoma, WA
1069351		5784487572	Kirkland, WA
16977290	5510127119	Seattle, WA
75780772	5947285997	Seattle, WA
45241476	5866533814	Seattle, WA
22866443	1564746974	Issaquah, WA
23552889	5443086642	Snohomish, WA
28464582	6167535806	Bothell, WA
14178003	5994296313	Everett, WA
61233202	6240871035	Redmond, WA
34232414	5089858993	Edmonds, WA
14530921	3167273662	Seattle, WA
14562244	5359466750	Bellingham, WA
19028354	3556319411	Woodinville, WA
18897380	6044226733	Seattle, WA
19945988	6148322435	
17980015	5352300803	Seattle, WA
3824401		5654447370	Redmond, WA
809768		5967543813	Seattle, WA
9460682		5806111245	Redmond, WA
16014459	5291049978	Seattle, WA
13786402	1895249292	Sammamish, WA
90594829	6193763555	Seattle, WA
6839892		5463630464	Seattle, WA
9461422		475872422	Redmond, WA
9022272		5269188169	Seattle, WA
33841004	6261649825	Puyallup, WA
17605651	5993868172	Lynnwood, WA
899791		5758184563	Seattle, WA
16169686	5760883259	Seattle, WA
42515161	5723918090	Seattle, WA
14180664	5180127264	Seattle, WA
70279514	5166996313	Seattle, WA
65429883	5365051768	Seattle, WA
28162811	5905168399	Olympia, WA
25584213	5345253678	Seattle, WA
74998364	5790832494	Seattle, WA
62284405	5074157702	Washougal, WA
16409382	5076307628	Tacoma, WA
17458684	4894074703	Seattle, WA
26371189	5268832798	Seattle, WA
51275015	5354946860	Vancouver, WA
25585110	5429605666	Seattle, WA
20954034	5204109387	Seattle, WA
87516817	5428774480	Port Orchard, WA
62547887	5981714775	Olympia, WA
34546062	5852257795	Seattle, WA
44568926	5789572614	Seattle, WA
22571307	5546434302	Tacoma, WA
16673258	4056022799	Seattle, WA
18267245	5981014801	Redmond, WA
76463217	5194343974	Kent, WA
6843192		4931156202	Seattle, WA
23620524	5827657567	Spokane, WA
3435441		5865168000	Seattle, WA
5532642		5400131636	Seattle, WA
70806596	5508222137	Bellingham, WA
6450282		6043541353	Seattle, WA
19033393	3561342834	Monroe, WA
72773144	4997332787	Seattle, WA
24056419	5128187557	Vancouver, WA
19426969	4815160609	Port Townsend, WA
2757281		5237634127	Redmond, WA
19795597	5424966957	Seattle, WA
62657214	5882314591	Bellevue, WA
23359668	4594673054	Spokane, WA
17821297	3705892607	Seattle, WA
49574092	6199779111	Seattle, WA
13529482	2179969973	Kirkland, WA
25651279	2494552384	Vancouver, WA
16282088	4606735407	Seattle, WA
18869308	1716111856	Seattle, WA
49050553	5268539683	Seattle, WA
15234082	5239434196	Seattle, WA
19428479	5828937888	Vancouver, WA
25982177	5803123916	
2258301		4971012468	Sammamish, WA
46429825	5605831441	Everett, WA
89814800	5950061784	Everett, WA
5091		5562569795	Seattle, WA
18904924	3926363872	Olympia, WA
67725628	4814140716	Seattle, WA
14317498	3723058135	Issaquah, WA
52197407	5307116986	Seattle, WA
817283		5496872375	Seattle, WA
15759497	3849453986	Bellevue, WA
17546960	5431403900	Bellingham, WA
19691788	4853351016	Mukilteo, WA
12613922	5624506954	Seattle, WA
85358898	5533040664	Bellevue, WA
16939491	5369601196	Seattle, WA
68451007	5850053381	Seattle, WA
22833618	4809126050	Seattle, WA
23493483	5082482919	Tacoma, WA
30309257	5054630129	Seattle, WA
27033107	4712117010	Seattle, WA
51150684	5926053452	Seattle, WA
15368044	2931298315	
3571651	5674935978	Seattle, WA
29130766	5702325169	Seattle, WA
25328412	5765387044	Silverdale, WA
55338862	5456885690	Redmond, WA
9864192	5670633743	Seattle, WA
20481294	5819181047	Vancouver, WA
7898572	5492550313	Seattle, WA
19564310	3389799226	Redmond, WA
15122910	2295207970	Everett, WA
14447752	4381711529	Seattle, WA
822259	5615310118	Bellevue, WA
63343734	5717808239	Bellingham, WA
33983758	5423309807	Seattle, WA
15652379	5534479446	Seattle, WA
44731962	6065980553	Wenatchee, WA
22318695	5500915914	Seattle, WA
20562568	1205212610	Seattle, WA
18124613	4634005387	Seattle, WA
15110194	5597414114	Tacoma, WA
40670126	3779320835	Bellingham, WA
33592261	5436112802	Spokane, WA
29922261	3848748372	Bellingham, WA
48054637	4839939594	Seattle, WA
41456904	5842340845	Seattle, WA
