74585956	6191219088	YA: Fair and 59 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1014.6 mb and the humidity is 46%.				Yorba Linda, California
74585956	6188479515	YA: Fair and 65 F at Fullerton Municipal, CA Winds are West at 3.5 MPH (3 KT). The pressure is 1013.8 mb and the humidi http://s2z.us/eq.htm	2009-11-29 20:30:38				Yorba Linda, California
74585956	6186754461	YA: Fair and 67 F at Fullerton Municipal, CA Winds are Northwest at 5.8 MPH (5 KT). The pressure is 1013.1 mb and the h http://s2z.us/eq.htm	2009-11-29 19:30:28				Yorba Linda, California
74585956	6184354733	YA: Fair and 73 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1012.1 mb and the humidity is 19%.				Yorba Linda, California
74585956	6182819596	YA: Fair and 73 F at Fullerton Municipal, CA Winds are West at 6.9 MPH (6 KT). The pressure is 1012.1 mb and the humidi http://s2z.us/eq.htm	2009-11-29 17:00:23				Yorba Linda, California
74585956	6180587643	YA: Fair and 72 F at Fullerton Municipal, CA Winds are Variable at 6.9 MPH (6 KT). The pressure is 1013.0 mb and the hu http://s2z.us/eq.htm	2009-11-29 15:30:45				Yorba Linda, California
74585956	6178222096	YA: Fair and 70 F at Fullerton Municipal, CA Winds are West at 3.5 MPH (3 KT). The pressure is 1013.8 mb and the humidi http://s2z.us/eq.htm	2009-11-29 14:00:34				Yorba Linda, California
74585956	6176739788	YA: Fair and 67 F at Fullerton Municipal, CA Winds are Northeast at 5.8 MPH (5 KT). The pressure is 1014.4 mb and the h http://s2z.us/eq.htm	2009-11-29 13:00:30				Yorba Linda, California
74585956	6174688704	YA: Fair and 63 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1014.4 mb and the humidity is 41%.				Yorba Linda, California
74585956	6172697106	YA: Fair and 47 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1012.8 mb and the humidity is 83%.				Yorba Linda, California
74585956	6170812844	YA: Fair and 46 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1012.5 mb and the humidity is 83%.				Yorba Linda, California
74585956	6169666666	YA: Fair and 48 F at Fullerton Municipal, CA Winds are Northwest at 4.6 MPH (4 KT). The pressure is 1012.0 mb and the h http://s2z.us/eq.htm	2009-11-29 07:30:15				Yorba Linda, California
74585956	6168251270	YA: Fair and 48 F at Fullerton Municipal, CA Winds are East at 4.6 MPH (4 KT). The pressure is 1012.0 mb and the humidi http://s2z.us/eq.htm	2009-11-29 06:00:25				Yorba Linda, California
74585956	6167034492	YA: Partly Cloudy and 49 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1012.2 mb and the humidity is 77% http://s2z.us/eq.htm	2009-11-29 04:30:49				Yorba Linda, California
74585956	6166997413	YA: ISOLATED LIGHT SHOWERS WILL MOVE OVER THE AREA AT TIMES THROUGH 400 AM. THE SHOWERS WERE MOVING SOUTHEAST AT 25 MPH http://s4z.us/af.htm	2009-11-29 04:28:02				Yorba Linda, California
74585956	6165856588	YA: Fair and 50 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1011.9 mb and the humidity is 74%.				Yorba Linda, California
74585956	6165008228	YA: A Few Clouds and 51 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1011.5 mb and the humidity is 74%. http://s2z.us/eq.htm	2009-11-29 02:00:17				Yorba Linda, California
74585956	6164460212	YA: ISOLATED LIGHT SHOWERS WILL MOVE OVER THE AREA AT TIMES THROUGH 200 AM. THE SHOWERS WERE MOVING SOUTHEAST AT 25 MPH http://s4z.us/af.htm	2009-11-29 01:24:03				Yorba Linda, California
74585956	6163565358	YA: A Few Clouds and 53 F at Fullerton Municipal, CA Winds are East at 3.5 MPH (3 KT). The pressure is 1010.7 mb and th http://s2z.us/eq.htm	2009-11-29 00:30:25				Yorba Linda, California
74585956	6161787034	YA: Fair and 54 F at Fullerton Municipal, CA Winds are Calm. The pressure is 1009.9 mb and the humidity is 67%.				Yorba Linda, California
19287919	5921152103	http://twitpic.com/qdbfk - W/ pat patterson	2009-11-21 09:51:20				Yorba Linda, CA
19287919	5920216986	Hight and force headed to homestead. #fordrh	2009-11-21 09:07:10				Yorba Linda, CA
19287919	5919045866	@wheeliedog NASCAR race starts at 4:30 ET pn Sat. Robert will give the "Gentlemen start your engines call" #fordrh	2009-11-21 08:08:44				Yorba Linda, CA
19287919	5919027642	Robert and John will start the day with a Sirius radio interview with Pat Patterson. Press conference at 11:15 a.m. in media center #nhrarh	2009-11-21 08:07:43				Yorba Linda, CA
19287919	5918912100	Full day of media for Robert and John at Homestead. Look 4 them on ESPN2 around lap 25 of today's NASCAR race from Kenseth's pit	2009-11-21 08:01:30				Yorba Linda, CA
19287919	5918882984	Robert Hight and John Force arrived in Miami at 5:30 a.m. for two full days at Ford Championship Weekend. #fordrh	2009-11-21 08:00:07				Yorba Linda, CA
19287919	5846033024	Great Robert Hight interview http://www.modavox.com/voiceamerica/vepisode.aspx?aid=42533	2009-11-18 20:35:30				Yorba Linda, CA
19287919	5837822457	All jfr drivers will be at holiday car show on dec. 6th	2009-11-18 15:30:27				Yorba Linda, CA
19287919	5829516859	RT @elonwer    I just voted for @courtneyforce for #fiestafav on http://bit.ly/KscBU b/c she made super videos & did a great job.	2009-11-18 09:58:03				Yorba Linda, CA
19287919	5829407711	Vote for Courtney Force if you liked her Ford Fiesta Movement efforts http://fiestamovement.com/votes	2009-11-18 09:53:37				Yorba Linda, CA
19287919	5799630358	Ashley Force Hood last USA Today entry http://www.usatoday.com/sports/motor/nhra/2009-11-17-force-hood-diary_N.htm	2009-11-17 10:26:21				Yorba Linda, CA
19287919	5799611777	@Timedwar Mike Edwards won the Full Throttle Moment award for PS, Arana won for PSB and Antron Brown won for TF	2009-11-17 10:25:37				Yorba Linda, CA
19287919	5799313206	Robert Hight and John Force will be in Homestead this weekend for NASCAR Ford Championship wknd. Hight Grand Marshall of Sat Race	2009-11-17 10:13:21				Yorba Linda, CA
19287919	5799273737	Ashley Force Hood and her Castrol GTX team won Full Throttle Moment and $25K. Thank you to everyone who voted.	2009-11-17 10:11:44				Yorba Linda, CA
19287919	5799258170	NHRA banquet last nite was great for JFR. Quest to defend FC title starts today for Robert Hight	2009-11-17 10:11:06				Yorba Linda, CA
19287919	5775887388	Bob frey onstage going over his emcee duties	2009-11-16 15:12:22				Yorba Linda, CA
19287919	5775847072	Robert going over speech with bill stephens	2009-11-16 15:10:46				Yorba Linda, CA
19287919	5774061008	Fc champ Robert hight headed to la to practice for nhra banquet	2009-11-16 13:58:41				Yorba Linda, CA
19287919	5752793256	http://twitpic.com/ppdrv - Neff win	2009-11-15 19:47:18				Yorba Linda, CA
19287919	5751361097	Ashley Force Hood and Mike Neff about to run FC  final #nhrawf	2009-11-15 18:51:04				Yorba Linda, CA
19287919	5750269201	Courtney Force heads to TAD final. #nhrawf	2009-11-15 18:08:38				Yorba Linda, CA
19287919	5749063285	Neff wins all JFR all the time in the final Ashley Force Hood vs. Mike Neff #nhrawf	2009-11-15 17:20:50				Yorba Linda, CA
19287919	5749039198	Ashley wins headed to final #nhrawf	2009-11-15 17:19:52				Yorba Linda, CA
19287919	5748961950	Ashley Force Hood against Ron Capps now. Racing for 2nd place in the points. $100,000 payout on the line #nhrawf	2009-11-15 17:16:37				Yorba Linda, CA
19287919	5746676006	FC semi-finals Ashley Force Hood vs. Ron Capps (lc) and Mike Neff vs. Tim Wilkerson (lc) #nhrawf	2009-11-15 15:44:39				Yorba Linda, CA
19287919	5746613659	Force loses to Neff. Force goes into sand at end of track. he's OK	2009-11-15 15:42:00				Yorba Linda, CA
19287919	5746570072	Force and Neff up next #nhrawf	2009-11-15 15:40:10				Yorba Linda, CA
