74585956	6191219088	ya fair and 59 f at fullerton municipal, ca winds are calm the pressure is 10146 mb and the humidity is 46				yorba linda, california
74585956	6188479515	ya fair and 65 f at fullerton municipal, ca winds are west at 35 mph 3 kt the pressure is 10138 mb and the humidi 	20091129 203038				yorba linda, california
74585956	6186754461	ya fair and 67 f at fullerton municipal, ca winds are northwest at 58 mph 5 kt the pressure is 10131 mb and the h 	20091129 193028				yorba linda, california
74585956	6184354733	ya fair and 73 f at fullerton municipal, ca winds are calm the pressure is 10121 mb and the humidity is 19				yorba linda, california
74585956	6182819596	ya fair and 73 f at fullerton municipal, ca winds are west at 69 mph 6 kt the pressure is 10121 mb and the humidi 	20091129 170023				yorba linda, california
74585956	6180587643	ya fair and 72 f at fullerton municipal, ca winds are variable at 69 mph 6 kt the pressure is 10130 mb and the hu 	20091129 153045				yorba linda, california
74585956	6178222096	ya fair and 70 f at fullerton municipal, ca winds are west at 35 mph 3 kt the pressure is 10138 mb and the humidi 	20091129 140034				yorba linda, california
74585956	6176739788	ya fair and 67 f at fullerton municipal, ca winds are northeast at 58 mph 5 kt the pressure is 10144 mb and the h 	20091129 130030				yorba linda, california
74585956	6174688704	ya fair and 63 f at fullerton municipal, ca winds are calm the pressure is 10144 mb and the humidity is 41				yorba linda, california
74585956	6172697106	ya fair and 47 f at fullerton municipal, ca winds are calm the pressure is 10128 mb and the humidity is 83				yorba linda, california
74585956	6170812844	ya fair and 46 f at fullerton municipal, ca winds are calm the pressure is 10125 mb and the humidity is 83				yorba linda, california
74585956	6169666666	ya fair and 48 f at fullerton municipal, ca winds are northwest at 46 mph 4 kt the pressure is 10120 mb and the h 	20091129 073015				yorba linda, california
74585956	6168251270	ya fair and 48 f at fullerton municipal, ca winds are east at 46 mph 4 kt the pressure is 10120 mb and the humidi 	20091129 060025				yorba linda, california
74585956	6167034492	ya partly cloudy and 49 f at fullerton municipal, ca winds are calm the pressure is 10122 mb and the humidity is 77 	20091129 043049				yorba linda, california
74585956	6166997413	ya isolated light showers will move over the area at times through 400 am the showers were moving southeast at 25 mph 	20091129 042802				yorba linda, california
74585956	6165856588	ya fair and 50 f at fullerton municipal, ca winds are calm the pressure is 10119 mb and the humidity is 74				yorba linda, california
74585956	6165008228	ya a few clouds and 51 f at fullerton municipal, ca winds are calm the pressure is 10115 mb and the humidity is 74 	20091129 020017				yorba linda, california
74585956	6164460212	ya isolated light showers will move over the area at times through 200 am the showers were moving southeast at 25 mph 	20091129 012403				yorba linda, california
74585956	6163565358	ya a few clouds and 53 f at fullerton municipal, ca winds are east at 35 mph 3 kt the pressure is 10107 mb and th 	20091129 003025				yorba linda, california
74585956	6161787034	ya fair and 54 f at fullerton municipal, ca winds are calm the pressure is 10099 mb and the humidity is 67				yorba linda, california
19287919	5921152103	  w pat patterson	20091121 095120				yorba linda, ca
19287919	5920216986	hight and force headed to homestead fordrh	20091121 090710				yorba linda, ca
19287919	5919045866	@wheeliedog nascar race starts at 430 et pn sat robert will give the gentlemen start your engines call fordrh	20091121 080844				yorba linda, ca
19287919	5919027642	robert and john will start the day with a sirius radio interview with pat patterson press conference at 1115 am in media center nhrarh	20091121 080743				yorba linda, ca
19287919	5918912100	full day of media for robert and john at homestead look 4 them on espn2 around lap 25 of todays nascar race from kenseths pit	20091121 080130				yorba linda, ca
19287919	5918882984	robert hight and john force arrived in miami at 530 am for two full days at ford championship weekend fordrh	20091121 080007				yorba linda, ca
19287919	5846033024	great robert hight interview 	20091118 203530				yorba linda, ca
19287919	5837822457	all jfr drivers will be at holiday car show on dec 6th	20091118 153027				yorba linda, ca
19287919	5829516859	rt @elonwer    i just voted for @courtneyforce for fiestafav on  bc she made super videos  did a great job	20091118 095803				yorba linda, ca
19287919	5829407711	vote for courtney force if you liked her ford fiesta movement efforts 	20091118 095337				yorba linda, ca
19287919	5799630358	ashley force hood last usa today entry 	20091117 102621				yorba linda, ca
19287919	5799611777	@timedwar mike edwards won the full throttle moment award for ps, arana won for psb and antron brown won for tf	20091117 102537				yorba linda, ca
19287919	5799313206	robert hight and john force will be in homestead this weekend for nascar ford championship wknd hight grand marshall of sat race	20091117 101321				yorba linda, ca
19287919	5799273737	ashley force hood and her castrol gtx team won full throttle moment and 25k thank you to everyone who voted	20091117 101144				yorba linda, ca
19287919	5799258170	nhra banquet last nite was great for jfr quest to defend fc title starts today for robert hight	20091117 101106				yorba linda, ca
19287919	5775887388	bob frey onstage going over his emcee duties	20091116 151222				yorba linda, ca
19287919	5775847072	robert going over speech with bill stephens	20091116 151046				yorba linda, ca
19287919	5774061008	fc champ robert hight headed to la to practice for nhra banquet	20091116 135841				yorba linda, ca
19287919	5752793256	  neff win	20091115 194718				yorba linda, ca
19287919	5751361097	ashley force hood and mike neff about to run fc  final nhrawf	20091115 185104				yorba linda, ca
19287919	5750269201	courtney force heads to tad final nhrawf	20091115 180838				yorba linda, ca
19287919	5749063285	neff wins all jfr all the time in the final ashley force hood vs mike neff nhrawf	20091115 172050				yorba linda, ca
19287919	5749039198	ashley wins headed to final nhrawf	20091115 171952				yorba linda, ca
19287919	5748961950	ashley force hood against ron capps now racing for 2nd place in the points 100,000 payout on the line nhrawf	20091115 171637				yorba linda, ca
19287919	5746676006	fc semifinals ashley force hood vs ron capps lc and mike neff vs tim wilkerson lc nhrawf	20091115 154439				yorba linda, ca
19287919	5746613659	force loses to neff force goes into sand at end of track hes ok	20091115 154200				yorba linda, ca
19287919	5746570072	force and neff up next nhrawf	20091115 154010				yorba linda, ca
19287919	5746546580	capps will race ashley force hood in semis he has lane choice by 2 thousandths nhrawf	20091115 153910				yorba linda, ca
19287919	5746476144	ashley force hood wins runs 4146 another force daughter to the semis both brittany and courtney are in tad semis nhrawf	20091115 153611				yorba linda, ca
19287919	5746397718	wilkerson great 411 to hights 436 hight got loose at top end	20091115 153256				yorba linda, ca
19287919	5746338456	robert hight and tim wilkerson up in round 2 nhrawf	20091115 153030				yorba linda, ca
19287919	5744171739	neff upsets head all jfr mustangs move into round two nhrawf	20091115 140333				yorba linda, ca
19287919	5744002690	force beats densham 4149 to 4162 nhrawf	20091115 135634				yorba linda, ca
19287919	5743995352	tim wilkerson will have lane choice over hight in next round	20091115 135614				yorba linda, ca
19287919	5743920365	hight wins pedalfest 4842 to tolivers 5195 nhrawf	20091115 135257				yorba linda, ca
19287919	5743869577	2009 fc world champion robert hight up next with jerry toliver nhrawf	20091115 135045				yorba linda, ca
19287919	5743849390	ashley wins 424 to bodes 446 nhrawf	20091115 134952				yorba linda, ca
19287919	5743795849	matt hagan takes out tony pedregon tony was in 4th in points ashley force hood up next with bob bode nhrawf	20091115 134731				yorba linda, ca
19287919	5743760328	matt hagan and tony pedregon up next nhrawf	20091115 134554				yorba linda, ca
19287919	5743752905	wilk gets win 412 to beckmans 414 nhrawf	20091115 134534				yorba linda, ca
49580995	5779055124	working on little league strategic plan so many competing priorities	20091116 171307				yorba linda, ca
49580995	5759102439	@barbgran now you have a follower	20091116 004932				yorba linda, ca
49580995	5696229017	@marionchapsal proof that we do readand that would be very sad indeed	20091113 183659				yorba linda, ca
49580995	5693184256	heading out to teacher conference for the youngest of my three boys	20091113 163509				yorba linda, ca
49580995	5693083607	@marionchapsal that was great  message in a bottle you made me smile too	20091113 163112				yorba linda, ca
49580995	5693065521	it takes some courage to persist when you meet opposition because you have to somehow know that you are right	20091113 163030				yorba linda, ca
49580995	5692520135	decided at our little league board meeting last night that we must create a strategic plan	20091113 160904				yorba linda, ca
49580995	5687769678	@jeffbullas thank you for a good read 	20091113 130246				yorba linda, ca
49580995	5687723748	love the quote rt @dahara if you are going through hell, keep going	20091113 130105				yorba linda, ca
49580995	5673741897	i dont have much time for excuses everyone has them some people ignore them some people exalt them	20091113 011029				yorba linda, ca
49580995	5655321720	rt @mashable stats has twitter flatlined just short of mainstream 	20091112 120533				yorba linda, ca
49580995	5655283514	rt @mashable twitter retweets temporarily disabled 	20091112 120359				yorba linda, ca
49580995	5653239901	@rgryan the abbreviation lb comes from the latin word libra, meaning scales, balances wikipedia	20091112 103852				yorba linda, ca
49580995	5644246254	@jeffbullas great blogging	20091112 021020				yorba linda, ca
49580995	5642601523	@leadertalk how is that book twitter marketing for dummies coming along	20091112 001132				yorba linda, ca
49580995	5639187469	@juliekayjkld re discrediting coaching  a real concern for executive coaches and a negative impact on team effectiveness	20091111 212405				yorba linda, ca
49580995	5638966155	rt @rflectionldrshp rt @mikehenrysr the more adequate performance you tolerate, the more adequate you become beoriginal	20091111 211445				yorba linda, ca
49580995	5638911539	if you love something, give it away paraphrased from itay talgram	20091111 211228				yorba linda, ca
49580995	5629520821	@jabobo99 good to see you here on twitter ill send you some direct ideas about what to do next	20091111 151555				yorba linda, ca
49580995	5613133985	spent the evening teaching a project management class tonights topics risk management and decision analytics	20091111 012708				yorba linda, ca
49580995	5613109009	@sopogy  thanks for clearing up the name  i was wondering 	20091111 012524				yorba linda, ca
49580995	5613074907	rt @techcrunch seesmic desktop adds twitter lists, hits 3 million downloads 	20091111 012259				yorba linda, ca
49580995	5613057126	are any third party apps especially iphone supporting lists yet	20091111 012143				yorba linda, ca
49580995	5605242669	@juliekayjkld yes helpful  shows that people want to connect, not just brand or learn encouraging	20091110 185750				yorba linda, ca
49580995	5599298292	twitter has added a beta retweet function  it works but doesnt allow you to add to the message 	20091110 150538				yorba linda, ca
49580995	5599173886	gotta believe @loriforney	20091110 150045				yorba linda, ca
49580995	5596778391	most leaders dont coach their followers because most leaders dont know how to coach	20091110 132217				yorba linda, ca
49580995	5596627033	@3keyscoach thanks for being so nice	20091110 131550				yorba linda, ca
49580995	5596614488	@juliekayjkld did your research on personal vs topic focus balance yield interesting results	20091110 131518				yorba linda, ca
49580995	5596397403	powerquestion if i could hold myself accountable, would i	20091110 130610				yorba linda, ca
49580995	5596119194	rt@mfcauley in leadership seminar this week  primal leadershipnothing truly important is done alone	20091110 125434				yorba linda, ca
49580995	5593631664	nice article rt @davidzinger zen habits the shortest answer is doing 	20091110 110956				yorba linda, ca
49580995	5592953671	rt @rflectionldrshp rt @markooakes goal achievement isnt conducive to winging it	20091110 104237				yorba linda, ca
49580995	5592909697	rt @iwisenet the harder you work, the harder it is to surrendervlombardi quote 	20091110 104052				yorba linda, ca
49580995	5587399126	great strategy session with a physician who will be bringing up a dialysis clinic in the philippines introduced him to decision trees	20091110 063505				yorba linda, ca
49580995	5587352690	rt @lmiindia at least 50 of successful leadership is about knowing when to get the heck out of the way via @drewshearer quote	20091110 063226				yorba linda, ca
49580995	5564850643	gorgeous zen room 	20091109 121128				yorba linda, ca
25738244	2833282411	drowning  airway obstruction is the 2nd leading causes of death in young childrenwhat every parent should know dvd wwwsavibabycom	20090725 003533				yorba linda, ca
25738244	2833278323	25 off all savi baby products at wwwsavibabycom use coupon code twitter	20090725 003514				yorba linda, ca
25738244	2820367351	baby wont take their medicine no problemcheck out the medibottle at wwwsavibabycom	20090724 104016				yorba linda, ca
25738244	2820327898	medibottlemedicine delivery systemclinically proven 1 • bpafree usa made wwwsavibabycom	20090724 103759				yorba linda, ca
25738244	2820241518	what every parent should know  	20090724 103258				yorba linda, ca
25738244	2792437724	check this video out watch your baby take medicine like its candy with medibottle by savi baby 	20090722 232538				yorba linda, ca
25738244	2773320760	25 off all savi baby products at wwwsavibabycom use coupon code twitter	20090722 005539				yorba linda, ca
25738244	2749371182	baby taking medicine learn how you can recieve a free medibottle just send an email to info@savibabycom subjuct line free medibottle	20090720 201750				yorba linda, ca
25738244	2749185674	check this video out  learn cpr steps with the infant  child cpr dvd in english  spanish 	20090720 200548				yorba linda, ca
