15990804	5485161964	Santa Monica, CA	
38709939	5007402261	Santa Monica, CA	
14287286	5458017740	Santa Monica, CA	
74842608	5181892632	Santa Monica, CA		
16254823	5876499865	Santa Monica, CA	
45045443	5032504336	Santa Monica, CA	
14985936	5595563449	Santa Monica, CA	
63310578	5458667117	Santa Monica, CA	
23337017	5686669869	Santa Monica, CA	
19671555	5687584842	Santa Monica, California		
20198816	4820765755	Santa Monica, CA	
14562896	5139786286	Santa Monica, CA	
32127962	5600917167	Santa Monica, CA	
15744118	5564434721	Santa Monica, CA	
19409588	4976737337	Santa Monica, CA	
85215038	5990088292	Santa Monica, CA	
19417563	6184244965	Santa Monica, California	
20598297	6014600946	Santa Monica, CA	
18388616	4504519758	Santa Monica, CA	
73683746	5895901452	Santa Monica, CA	
57170795	5593721457	Santa Monica, CA	
78536984	5548603273	Santa Monica, CA	
35939707	6121516620	Santa Monica, CA	
17852343	5491352252	Santa Monica, CA	
25192675	3867778717	Santa Monica, CA	
65697614	5341066164	Santa Monica, CA	
20265488	2892898636	Santa Monica, CA	
14449230	5536241089	Santa Monica, CA	
21265875	6317994456	Santa Monica, CA	
19600747	5540107691	Santa Monica, CA	
35948515	5297452937	Santa Monica, CA	
34638443	5562412717	Santa Monica, CA		
33014428	5771897019	Santa Monica, California	
14324117	5716533347	Santa Monica, CA	
18649764	6252003831	Santa Monica, CA	
21501256	1386245607	Santa Monica, CA	
27040166	1618044881	Santa Monica, CA	
32546740	4598063249	Santa Monica, CA	
35693092	5344586139	Santa Monica, CA	
15639478	5701093700	Santa Monica, CA	
14590975	5444393302	Santa Monica, CA	
20728551	5836577674	Santa Monica, CA	
43166812	5570367728	Santa Monica, CA	
20491402	5309033839	Santa Monica, CA	
58896328	5693597492	Santa Monica, CA	
15511636	5488737279	Santa Monica, CA		
73709615	5682446531	Santa Monica, CA	
16435577	5296459172	Santa Monica, CA	
14859204	5273205620	Santa Monica, California		
24953769	5579480151	Santa Monica, CA	
16585403	3196868038	Santa Monica, CA	
22201342	5630575921	Santa Monica, CA	
14206711	5604642418	Santa Monica, CA	
19845256	5626318929	Santa Monica, CA	
25351644	5592953008	Santa Monica, CA	
10148262	3585839575	Santa Monica, CA	
15257371	5718741952	Santa Monica, California		
77126664	4846884104	Santa Monica, CA	
14081078	4875346456	Santa Monica, California	
21209087	5427532924	Santa Monica, California	
34007097	5182338076	Santa Monica, CA	
23654040	5202373487	Santa Monica, CA	
23917244	3449307926	Santa Monica, CA	
60355615	4660301718	Santa Monica, CA	
62846459	6195993014	Santa Monica, CA	
16579346	5653744811	Santa Monica, CA	
34798476	5481973814	Santa Monica, CA	
15010370	5425732325	Santa Monica, CA	
22744872	4696936106	Santa Monica, CA	
16373878	5102708961	Santa Monica, California	
24189601	4862152629	Santa Monica, CA	
25238598	5882464316	Santa Monica, California	
76098252	5638201479	Santa Monica, CA	
12135162	5044311914	Santa Monica, CA	
17401682	5269556010	Santa Monica, CA		
21705208	5596522907	Santa Monica, CA	
18036978	5836128437	Santa Monica, CA	
14892610	5802866129	Santa Monica, CA	
80430156	6017166066	Santa Monica, CA	
58148088	5739415193	Santa Monica, CA	
28238045	5410691602	Santa Monica, CA	
28395072	5402809358	Santa Monica, CA	
37964030	5410305230	Santa Monica, CA	
21973455	6208371044	Santa Monica, CA	
17124119	6020527167	Santa Monica, CA	
49761051	5209365104	Santa Monica, CA	
17519817	2199123913	Santa Monica, CA	
20404333	3533969956	Santa Monica, CA	
15948557	5712371061	Santa Monica, CA	
87251875	5465547622	Santa Monica, CA	
17653609	5600110087	Santa Monica, California	
20275150	5635446525	Santa Monica, CA	
14247122	5523420143	Santa Monica, CA	
17011341	5662393576	Santa Monica, CA	
25391663	5466002221	Santa Monica, CA	
22341769	5698293309	Santa Monica, California	
61305921	6427006075	Santa Monica, CA	
34698369	3518502624	Santa Monica, CA	
14548727	5628441525	Santa Monica, CA	
23690982	5307602903	Santa Monica, CA	
27978427	3219948536	Santa Monica, CA	
14909768	5597754270	Santa Monica, CA	
20414851	5245901633	Santa Monica, CA	
22118978	6207053274	Santa Monica, California	
43746300	5643172981	Santa Monica, CA	
15437409	4323421774	Santa Monica, California		
63279820	5625460087	Santa Monica, CA	
37851857	3409184984	Santa Monica, CA	
20944157	2773564654	Santa Monica, CA	
33920481	5616459152	Santa Monica, CA	
14566578	4032392098	Santa Monica, CA	
35888987	2658570730	Santa Monica, CA	
