23990483	WBHomeEnt	CA	58748818	zach_roerig	
23990483	WBHomeEnt	CA	87318558	AADaddario	
23990483	WBHomeEnt	CA	122805750	carlagugino	
23990483	WBHomeEnt	CA	123585931	alextorrr	
23990483	WBHomeEnt	CA	1939017829	mkmalarkey	
23990483	WBHomeEnt	CA	24574039	ErnestoRiley	
23990483	WBHomeEnt	CA	449349346	BradBirdA113	CA
23990483	WBHomeEnt	CA	369206130	SarahSoWitty	CA
23990483	WBHomeEnt	CA	30282704	Mark_Sheppard	
23990483	WBHomeEnt	CA	59703952	OsricChau	
23990483	WBHomeEnt	CA	116838461	RuthieConnell	CA
23990483	WBHomeEnt	CA	933128688	curtisisbooger	
23990483	WBHomeEnt	CA	382218838	TheJimMichaels	
20922781	StevieKrug	CO	1623606978	KKCDallas	
20922781	StevieKrug	CO	3415305573	brock_mckinsey	
20922781	StevieKrug	CO	2290146017	cjfwifey	
20922781	StevieKrug	CO	224353486	philleenmeskin	
20922781	StevieKrug	CO	2237989560	msanford52	
20922781	StevieKrug	CO	27797892	ThomasETrue	CA
20922781	StevieKrug	CO	269376134	gerald_turpin	CA
20922781	StevieKrug	CO	329983787	NealAtkin	
20922781	StevieKrug	CO	88319005	QuixoticMoose	
20922781	StevieKrug	CO	159910925	JohnnieFzWalker	
20922781	StevieKrug	CO	511328324	flyingthumbs	
20922781	StevieKrug	CO	2908576324	boyerhome	
20922781	StevieKrug	CO	505195537	AlanFuhrman	
20922781	StevieKrug	CO	24037501	tripperscott	
20922781	StevieKrug	CO	182531204	davidvoda	CA
20922781	StevieKrug	CO	18203697	janeengle	
20922781	StevieKrug	CO	448550404	psubeav	
20922781	StevieKrug	CO	618351716	KariHicks3	
20922781	StevieKrug	CO	328275678	1Geist	
20922781	StevieKrug	CO	245223402	LoriKallenberg	NY
20922781	StevieKrug	CO	179688231	Bruce_Mims	AZ
20922781	StevieKrug	CO	25031897	julianjules	
20922781	StevieKrug	CO	22461427	alyankovic	
20922781	StevieKrug	CO	783214		twitter		CA
20922781	StevieKrug	CO	19087330	navyslang	
20922781	StevieKrug	CO	17758656	yensid98	CA
20922781	StevieKrug	CO	19029137	BrentSpiner	CA
20922781	StevieKrug	CO	14735100	attebury	OR
20922781	StevieKrug	CO	36933993	kfuhrman83	PA
20922781	StevieKrug	CO	18909480	lojoz	
20922781	StevieKrug	CO	15786137	harajukuroxy	
20922781	StevieKrug	CO	19660686	BridyDesigns	NY
20922781	StevieKrug	CO	16397742	CorvidCastle	
35928335	kdivas		CA	25740897	autismfilms	CA
35928335	kdivas		CA	3221411311	NLRDash	
35928335	kdivas		CA	313072096	filmtvplacement	 
35928335	kdivas		CA	2524120566	DirectedbyWomen	
35928335	kdivas		CA	2643477972	thedonisjr	CA
35928335	kdivas		CA	40107120	chrisstokes1969	
35928335	kdivas		CA	16864146	HeyJamie	
35928335	kdivas		CA	3013069332	ChrisUhebe	
35928335	kdivas		CA	1423997096	PardueSuzanne	 
35928335	kdivas		CA	124230640	goodblacknews	CA
35928335	kdivas		CA	21452184	laurencbyrd14	
35928335	kdivas		CA	16688083	LogoTV	
35928335	kdivas		CA	17718497	LAWeekly	
35928335	kdivas		CA	30814895	p9o2o7h	
35928335	kdivas		CA	394443070	MzPynkBling	FL
35928335	kdivas		CA	203783659	sbxduval	FL
35928335	kdivas		CA	24254832	AmericanFilm	CA
35928335	kdivas		CA	2972082791	TheNewMactunes	
35928335	kdivas		CA	583988926	SBXAlphaDelta	AZ
35928335	kdivas		CA	19678610	IFCFilms	NY
35928335	kdivas		CA	13992132	indiewire	NY
35928335	kdivas		CA	15588104	melsil	
35928335	kdivas		CA	95931102	womenmakemovies	NY
35928335	kdivas		CA	1214810773	TheDirectorList	CA
35928335	kdivas		CA	745529353	FredRoseFilms	
35928335	kdivas		CA	3253913880	BreakingTCmovie	CA
35928335	kdivas		CA	2331114428	MelodieCasta1	
35928335	kdivas		CA	18476403	TedHope		CA
35928335	kdivas		CA	29312780	WomenInTheArts	DC
35928335	kdivas		CA	625710376	womenartists_	
35928335	kdivas		CA	47358610	ifpfilm		NY
35928335	kdivas		CA	1177956894	MsInTheBiz	
35928335	kdivas		CA	14137823	LeahMeyerhoff	NY
35928335	kdivas		CA	1973158964	FilmFatales	NY
35928335	kdivas		CA	275634156	AWD_Directors	CA 
35928335	kdivas		CA	930980120	EtheriaFN	CA
35928335	kdivas		CA	23619624	LAFilmFestival	CA
35928335	kdivas		CA	2987818676	IamMelanieWise	CA
35928335	kdivas		CA	3015852242	BroadsWordThtr	CA
35928335	kdivas		CA	133425961	globaleffects	CA
35928335	kdivas		CA	22738203	realbadger	CA
35928335	kdivas		CA	1878177331	Vicarious_Films	CA
35928335	kdivas		CA	243840035	NetworkISA	CA
35928335	kdivas		CA	15830809	temasls		CA
35928335	kdivas		CA	16874234	lafilmschool	CA
35928335	kdivas		CA	2941438106	Artemis_FF	CA
35928335	kdivas		CA	2445991008	SeekingOurStory	CA
35928335	kdivas		CA	311013303	IAmAutisticTV	FL
35928335	kdivas		CA	180568685	WIF_LosAngeles	CA
35928335	kdivas		CA	2635340887	WomenNMedia	 
35928335	kdivas		CA	71758310	real_lilwill	TN
35928335	kdivas		CA	94705718	BossHaasENT	IL
35928335	kdivas		CA	17217173	epic1tv		GA
35928335	kdivas		CA	36843988	TEDNews	NY, 	NY
35928335	kdivas		CA	15492359	TEDTalks	NY
35928335	kdivas		CA	11740902	tferriss	
35928335	kdivas		CA	29272446	SPressfield	
35928335	kdivas		CA	2903112295	CaliWorship	CA
35928335	kdivas		CA	106586622	MACTUNESRADIO	OH
35928335	kdivas		CA	97544703	ZealousSBX	MI
35928335	kdivas		CA	24117655	MrsSBXSmalls	
35928335	kdivas		CA	24574351	rocksteadyb	
35928335	kdivas		CA	38745620	Thee_C_Renee	
35928335	kdivas		CA	359555311	MacTunesMag	
35928335	kdivas		CA	142854271	JISERM3F	
35928335	kdivas		CA	308151547	sbaroncohen	
35928335	kdivas		CA	274673392	Chase		NY
35928335	kdivas		CA	3018111009	Real923LA	
35928335	kdivas		CA	494456296	Record_Labels	
35928335	kdivas		CA	19996417	PHBell15	NJ
35928335	kdivas		CA	23996427	masner	
35928335	kdivas		CA	178098567	TheHelpGroup	
35928335	kdivas		CA	472872558	MrT	
35928335	kdivas		CA	754206721	ShareThisFact	
35928335	kdivas		CA	1931811601	WritingFestival	
35928335	kdivas		CA	2656243922	HashTag_LAX	CA
35928335	kdivas		CA	2706800587	BonafideRoyalty	
35928335	kdivas		CA	125408839	andraeballard	
35928335	kdivas		CA	15251252	AriesFitBonnie	
35928335	kdivas		CA	20704331	AutismisnotBoss	MO
35928335	kdivas		CA	193433439	BlessedSound	CA
35928335	kdivas		CA	259348680	PriceIsRight	
35928335	kdivas		CA	59299583	HelenFicalora	
35928335	kdivas		CA	189400421	BornAdiva2011	
35928335	kdivas		CA	65767741	ChikkChikk	CA
35928335	kdivas		CA	2804758435	naniwhitfield	
35928335	kdivas		CA	2598836168	GameShowCasting	CA
35928335	kdivas		CA	588902679	letsaskamerica	
